Start Date,2019-01-17 00:00:00
End Date,2019-01-17 23:59:59
Server Time,2019-01-17 12:42:06
Appliance,XG210
Firmware Version,SFOS 17.1.3 MR-3
Firmware Build,250
Device Serial Number,C23076Y42C78R17
Reports
	,Hosts
Criteria
None


Host,Bytes,Percent
192.168.2.96,1.94 GB,8.76 %
192.168.2.58,1.74 GB,7.88 %
192.168.2.108,1013.79 MB,4.47 %
192.168.2.37,1011.9 MB,4.47 %
192.168.2.36,917.55 MB,4.05 %
192.168.2.179,674.8 MB,2.98 %
192.168.2.40,622.73 MB,2.75 %
192.168.2.54,513.33 MB,2.27 %
192.168.2.73,489.73 MB,2.16 %
192.168.2.104,469.89 MB,2.07 %
192.168.2.69,429.35 MB,1.89 %
192.168.2.88,427.87 MB,1.89 %
192.168.2.56,424.67 MB,1.87 %
192.168.2.83,415.15 MB,1.83 %
192.168.2.61,410.98 MB,1.81 %
192.168.2.134,399.27 MB,1.76 %
192.168.2.182,369.57 MB,1.63 %
192.168.2.31,362.86 MB,1.6 %
192.168.2.68,337.85 MB,1.49 %
192.168.2.27,337.77 MB,1.49 %
192.168.2.195,337.46 MB,1.49 %
192.168.2.75,333.8 MB,1.47 %
192.168.2.65,326.08 MB,1.44 %
192.168.2.64,320.49 MB,1.41 %
192.168.2.154,318.69 MB,1.41 %
192.168.2.171,306.75 MB,1.35 %
192.168.2.39,304.39 MB,1.34 %
192.168.2.135,279.81 MB,1.23 %
192.168.2.26,260.32 MB,1.15 %
192.168.2.23,236.47 MB,1.04 %
192.168.2.19,234.1 MB,1.03 %
192.168.2.29,227.73 MB,1 %
192.168.2.105,227.63 MB,1 %
192.168.2.174,205.19 MB,0.91 %
192.168.2.107,192.7 MB,0.85 %
192.168.2.87,187.89 MB,0.83 %
192.168.2.91,184.98 MB,0.82 %
192.168.2.76,174.97 MB,0.77 %
192.168.2.98,168.74 MB,0.74 %
192.168.2.84,168.53 MB,0.74 %
192.168.2.51,167.53 MB,0.74 %
192.168.2.14,163.63 MB,0.72 %
192.168.2.42,163.06 MB,0.72 %
192.168.2.158,155.51 MB,0.69 %
192.168.2.130,151.95 MB,0.67 %
192.168.2.114,146.7 MB,0.65 %
192.168.2.162,137.7 MB,0.61 %
192.168.2.18,122.79 MB,0.54 %
192.168.2.71,120.17 MB,0.53 %
192.168.2.106,117.7 MB,0.52 %
192.168.2.194,115.07 MB,0.51 %
192.168.2.43,113.23 MB,0.5 %
192.168.2.184,113.03 MB,0.5 %
192.168.2.198,112.07 MB,0.49 %
192.168.2.138,111.35 MB,0.49 %
192.168.2.46,111.25 MB,0.49 %
192.168.2.168,108.98 MB,0.48 %
192.168.2.137,107.78 MB,0.48 %
192.168.2.48,95.14 MB,0.42 %
192.168.2.85,90.78 MB,0.4 %
192.168.2.79,71.12 MB,0.31 %
192.168.2.35,70.41 MB,0.31 %
192.168.2.103,68.81 MB,0.3 %
192.168.2.145,67.91 MB,0.3 %
192.168.2.16,66.45 MB,0.29 %
192.168.2.89,64.51 MB,0.28 %
192.168.2.126,62.19 MB,0.27 %
192.168.2.57,60.91 MB,0.27 %
192.168.2.144,60.2 MB,0.27 %
192.168.2.24,59.81 MB,0.26 %
192.168.2.67,57.32 MB,0.25 %
192.168.2.8,57.13 MB,0.25 %
192.168.2.30,55.23 MB,0.24 %
192.168.2.90,54.32 MB,0.24 %
192.168.2.63,53.7 MB,0.24 %
192.168.2.186,52.25 MB,0.23 %
192.168.2.153,51.8 MB,0.23 %
192.168.2.132,51.19 MB,0.23 %
192.168.2.165,49.75 MB,0.22 %
192.168.2.55,49.09 MB,0.22 %
192.168.2.149,49.04 MB,0.22 %
192.168.2.77,44.58 MB,0.2 %
192.168.2.70,42.65 MB,0.19 %
192.168.2.155,38.6 MB,0.17 %
192.168.2.50,37.45 MB,0.17 %
192.168.2.86,36.09 MB,0.16 %
192.168.2.121,33.84 MB,0.15 %
192.168.2.172,32.09 MB,0.14 %
192.168.2.41,27.76 MB,0.12 %
192.168.2.33,25.93 MB,0.11 %
192.168.2.97,21.38 MB,0.09 %
192.168.2.81,20.25 MB,0.09 %
192.168.2.21,16.61 MB,0.07 %
192.168.2.62,16.43 MB,0.07 %
192.168.2.45,13.84 MB,0.06 %
192.168.2.92,13.37 MB,0.06 %
192.168.2.118,11.25 MB,0.05 %
192.168.2.17,11.16 MB,0.05 %
192.168.2.82,10.77 MB,0.05 %
Others,51.32 MB,0.21 %
